Frame;Stage;Time;Time_TrackID;TrackID;FilamentID;Name;Location;Position_X;Position_Y;Position_Z;unik;Fibers;Fiber.TubGFP;Fiber.TubGFP_low;Position.TubGFP;Position_Type;Length;Position_Type_Track;
3;30,66666667;40;3_100000172;100000172;100000172;structure;V-Ventral;169.754;90.8275;-1.30464;3_100000172169.754;2;0;0;GFPneg;multi;Short;multi;
3;30,66666667;40;3_1100000000;1100000000;100000135;structure;D-Dorsal;41.0014;105.01;-9.34412;3_110000000041.0014;1;0;0;GFPneg;Single;LP-Contact;multi;
3;30,66666667;40;3_1100000001;1100000001;100000134;structure;D-Dorsal;45.5143;104.669;-8.67945;3_110000000145.5143;5;0;0;GFPneg;multi;Short;multi;
3;30,66666667;40;3_1100000002;1100000002;100000133;structure;D-Dorsal;43.4854;110.965;-8.42164;3_110000000243.4854;3;0;0;GFPneg;multi;LP-Contact;multi;
3;30,66666667;40;3_1100000002;1100000002;100000136;structure;Dorsal;48.1832;108.241;-5.74607;3_110000000248.1832;3;0;0;GFPneg;multi;Short;multi;
3;30,66666667;40;3_1100000003;1100000003;100000138;structure;Dorsal;54.1914;112.699;-6.61163;3_110000000354.1914;3;0;0;GFPneg;multi;Short;multi;
3;30,66666667;40;3_1100000005;1100000005;100000146;structure;D-Dorsal;39.5571;96.5087;-7.4013;3_110000000539.5571;1;0;0;GFPneg;Single;Short;multi;
3;30,66666667;40;3_1100000006;1100000006;100000139;structure;Dorsal;62.0399;112.208;-1.48689;3_110000000662.0399;2;0;0;GFPneg;multi;Short;multi;
3;30,66666667;40;3_1100000008;1100000008;100000140;structure;Dorsal;66.5544;115.046;-0.332623;3_110000000866.5544;1;0;0;GFPneg;Single;Short;multi;
3;30,66666667;40;3_1100000010;1100000010;100000141;structure;Dorsal;70.9968;112.151;-1.02185;3_110000001070.9968;2;0;0;GFPneg;multi;Short;multi;
3;30,66666667;40;3_1100000011;1100000011;100000142;structure;Dorsal;72.5174;113.581;0.960454;3_110000001172.5174;2;0;2;GFPneg;multi;Short;multi;
3;30,66666667;40;3_1100000013;1100000013;100000178;structure;Dorsal;52.7913;106.831;-5.58888;3_110000001352.7913;1;0;0;GFPneg;Single;#NA;multi;
